epoch,blk_s,evm_tps,evm_tx_blk,evm_root,evm_exec,evm_persist,pay_tps,pay_tx_blk,pay_root,pay_exec,pay_persist,symmetric,agree
1784489012,3.68,321.9,87.5,2.700,3.620,47.05,322.6,87.7,7.690,2.950,46.61,1,1
1784489042,3.67,321.6,87.6,3.400,3.620,49.10,321.4,87.6,7.720,3.310,47.39,1,1
1784489072,3.68,322.0,87.5,3.080,3.670,49.36,322.9,87.7,7.720,3.070,47.76,1,1
1784489102,3.72,320.7,86.2,3.060,3.300,47.34,321.2,86.3,7.750,3.000,46.56,1,1
1784489133,3.77,321.8,85.4,3.160,3.820,48.03,321.6,85.3,7.610,2.960,46.48,1,1
1784489163,3.81,320.6,84.1,3.010,3.620,48.20,320.1,84.0,7.770,3.100,47.28,1,1
1784489193,3.86,321.5,83.3,3.040,3.680,48.06,321.4,83.3,7.750,3.100,46.58,1,1
1784489223,3.90,323.2,82.9,3.170,3.560,48.80,323.3,82.9,7.240,2.910,46.96,1,1
1784489253,3.92,322.6,82.3,2.880,3.500,47.16,321.4,82.0,7.550,2.840,46.50,1,1
1784489283,3.90,320.8,82.3,3.140,3.440,47.43,321.1,82.3,7.710,2.880,47.01,1,1
1784489313,3.92,321.7,82.1,2.960,3.570,48.01,321.5,82.0,7.710,2.960,46.42,1,1
1784489343,3.91,322.3,82.4,3.230,3.270,47.62,321.8,82.3,7.810,2.890,46.34,1,1
1784489373,3.92,321.3,82.0,3.300,3.250,49.04,321.4,82.0,7.250,2.820,47.13,1,1
1784489403,3.92,323.5,82.5,3.080,3.450,48.39,322.0,82.1,7.620,2.950,47.14,1,1
1784489433,3.91,321.7,82.3,3.220,3.340,58.83,321.8,82.3,7.840,3.110,58.23,1,1
1784489463,3.91,320.5,82.0,3.040,3.550,50.23,321.9,82.3,7.760,3.020,49.50,1,1
1784489493,3.71,321.7,86.7,3.440,4.360,56.20,321.4,86.6,7.900,3.260,49.11,1,1
1784489523,3.72,322.3,86.6,3.360,3.340,49.35,320.8,86.2,7.840,2.830,47.96,1,1
1784489553,3.72,322.3,86.6,3.340,3.450,50.13,321.5,86.4,7.880,2.990,49.13,1,1
1784489584,3.72,320.9,86.3,3.220,3.440,53.40,321.6,86.5,7.710,3.100,48.92,1,1
1784489614,3.72,321.5,86.4,3.290,3.550,52.64,321.2,86.3,7.340,3.050,52.31,1,1
1784489644,3.87,322.0,83.2,3.430,3.590,51.00,319.7,82.6,7.790,3.110,48.78,1,1
1784489674,3.92,322.0,82.1,3.340,3.200,49.88,321.7,82.1,7.840,3.150,47.99,1,1
1784489704,3.92,323.6,82.6,3.200,3.390,49.49,323.5,82.5,7.780,2.960,48.16,1,1
1784489734,3.92,320.3,81.7,3.320,3.300,50.66,321.6,82.0,7.690,2.870,48.81,1,1
1784489764,3.91,319.9,81.8,3.280,3.270,50.37,321.4,82.2,7.660,3.020,48.66,1,1
1784489794,3.91,321.1,82.1,3.310,3.170,49.00,319.9,81.8,7.870,3.020,48.00,1,1
