epoch,blk_s,evm_tps,evm_tx_blk,evm_root,evm_exec,evm_persist,pay_tps,pay_tx_blk,pay_root,pay_exec,pay_persist,symmetric,agree
1784485204,3.48,320.3,92.0,2.670,3.270,44.89,321.6,92.4,7.500,3.770,46.42,1,1
1784485234,3.61,320.6,88.8,2.480,3.360,46.54,320.4,88.8,7.280,3.660,47.58,1,1
1784485264,3.60,321.0,89.2,2.490,3.610,46.44,321.1,89.2,7.670,3.770,47.05,1,1
1784485294,3.60,319.7,88.8,2.940,3.430,46.16,319.8,88.8,7.430,3.610,47.20,1,1
1784485324,3.60,321.5,89.3,2.500,3.140,45.28,321.5,89.3,7.290,3.410,46.09,1,1
1784485354,3.60,320.4,89.0,2.590,3.000,45.89,322.5,89.6,7.540,3.650,46.74,1,1
1784485384,3.60,321.7,89.4,2.620,3.190,46.05,320.9,89.1,7.230,3.420,47.54,1,1
1784485414,3.59,321.0,89.4,2.680,3.210,48.36,320.9,89.4,7.460,3.820,46.50,1,1
1784485445,3.60,320.9,89.1,2.880,3.220,46.60,320.9,89.1,7.490,3.590,47.37,1,1
1784485475,3.64,321.9,88.4,2.760,3.040,46.17,323.0,88.7,7.440,3.260,46.81,1,1
1784485505,3.71,322.5,86.9,2.520,3.220,46.90,321.8,86.7,7.670,3.160,47.16,1,1
1784485535,3.75,320.8,85.5,2.660,3.190,46.57,320.0,85.3,7.630,3.350,48.20,1,1
1784485565,3.82,322.8,84.5,2.510,3.040,46.41,321.2,84.1,7.100,3.230,47.08,1,1
1784485595,3.87,321.1,83.0,2.740,3.070,45.73,322.8,83.4,7.680,3.360,46.25,1,1
1784485625,3.92,321.3,82.0,2.600,3.000,46.52,320.0,81.6,7.060,3.120,46.73,1,1
1784485655,3.91,322.8,82.6,2.680,3.170,46.37,322.7,82.5,7.130,3.120,47.47,1,1
1784485685,3.91,320.3,81.9,2.600,3.300,46.50,321.9,82.3,7.640,3.270,47.69,1,1
1784485715,3.91,320.5,82.0,2.540,3.150,45.76,321.9,82.3,7.110,3.250,46.14,1,1
1784485745,3.91,321.6,82.3,2.630,3.150,47.19,320.7,82.0,7.160,3.170,47.93,1,1
1784485775,3.92,321.2,81.9,2.670,3.080,47.14,321.2,81.9,7.530,3.240,48.14,1,1
1784485806,3.91,321.5,82.2,2.750,3.210,46.41,321.8,82.3,7.630,3.130,47.46,1,1
1784485836,3.91,320.2,81.9,2.720,3.250,46.76,321.5,82.2,7.380,3.150,47.76,1,1
1784485866,3.91,320.7,82.0,2.850,3.100,47.84,319.9,81.8,7.340,3.110,47.98,1,1
1784485896,3.91,322.1,82.4,2.750,3.180,47.89,321.0,82.1,7.450,3.230,47.95,1,1
1784485926,3.91,321.7,82.3,2.410,3.170,47.32,322.2,82.4,7.360,3.120,48.10,1,1
1784485956,3.91,320.3,81.9,2.600,3.420,46.98,321.8,82.3,7.500,3.140,46.99,1,1
1784485986,3.92,321.1,81.9,2.860,3.320,47.31,320.5,81.8,7.630,3.210,48.55,1,1
1784486016,3.91,322.2,82.4,2.760,3.160,47.18,321.7,82.3,7.790,3.480,47.89,1,1
1784486046,3.91,319.7,81.8,2.780,3.280,46.95,321.4,82.2,7.680,3.270,47.82,1,1
1784486076,3.92,321.4,82.0,2.710,3.010,46.15,320.5,81.8,7.670,3.240,47.45,1,1
1784486106,3.91,321.8,82.3,2.670,3.210,47.16,321.2,82.1,7.680,3.160,47.94,1,1
1784486136,3.91,320.2,81.9,2.530,3.140,47.22,321.6,82.3,7.290,3.030,47.53,1,1
1784486166,3.92,321.7,82.1,2.670,3.290,46.90,321.3,82.0,7.470,3.190,48.06,1,1
1784486196,3.91,321.6,82.3,2.820,3.410,46.97,321.4,82.2,7.120,3.090,47.16,1,1
1784486227,3.91,321.6,82.3,2.380,3.140,46.81,321.7,82.3,7.460,3.260,47.63,1,1
1784486257,3.82,320.0,83.8,3.200,4.180,487.41,318.7,83.4,10.000,4.520,480.74,1,1
1784486287,3.71,320.6,86.4,2.560,3.340,45.83,322.0,86.8,7.150,3.220,46.64,1,1
1784486317,3.72,320.9,86.3,2.810,2.970,45.98,321.8,86.5,7.440,3.030,46.14,1,1
1784486347,3.72,323.1,86.9,2.780,3.330,46.44,321.0,86.3,7.340,3.070,47.45,1,1
1784486377,3.72,320.9,86.3,2.770,3.370,45.80,319.8,86.0,7.460,3.450,46.30,1,1
1784486407,3.72,321.0,86.3,2.620,3.060,46.11,320.2,86.1,7.200,2.960,46.37,1,1
1784486437,3.92,320.0,81.6,2.620,3.260,45.78,321.6,82.0,7.450,3.330,46.63,1,1
1784486467,3.92,321.0,81.9,2.660,3.120,46.51,322.1,82.2,7.240,3.270,46.49,1,1
