epoch,lane,head,cum_root_ms,win_root_ms
1784439432,MPT,30,0.9622,0.9622
1784439432,SALT,31,0.1194,0.1194
1784439462,MPT,147,2.2152,2.5364
1784439462,SALT,147,2.7050,3.3960
1784439492,MPT,264,2.8654,3.6824
1784439492,SALT,264,3.0690,3.5263
1784439522,MPT,380,3.2863,4.2441
1784439522,SALT,380,3.2414,3.6339
1784439552,MPT,496,3.5616,4.4633
1784439552,SALT,496,3.2881,3.4397
1784439582,MPT,612,3.7317,4.4590
1784439582,SALT,613,3.3347,3.5343
1784439612,MPT,728,3.8974,4.7720
1784439612,SALT,729,3.3609,3.4996
1784439643,MPT,843,4.0417,4.9551
1784439643,SALT,846,3.3956,3.6119
1784439673,MPT,959,4.1464,4.9069
1784439673,SALT,962,3.4264,3.6511
1784439703,MPT,1075,4.2640,5.2366
1784439703,SALT,1079,3.4690,3.8192
1784439733,MPT,1190,4.3827,5.4924
1784439733,SALT,1195,3.4883,3.6673
1784439763,MPT,1306,4.5112,5.8288
1784439763,SALT,1311,3.5132,3.7697
1784439793,MPT,1421,4.6843,6.6499
1784439793,SALT,1427,3.5811,4.3483
1784439823,MPT,1536,4.7854,6.0346
1784439823,SALT,1544,3.5992,3.8209
1784439853,MPT,1651,4.8918,6.3143
1784439853,SALT,1660,3.6173,3.8580
1784439883,MPT,1766,5.0251,6.9383
1784439883,SALT,1776,3.6679,4.3913
1784439914,MPT,1881,5.1181,6.5469
1784439914,SALT,1892,3.6874,3.9862
1784439944,MPT,1996,5.1995,6.5310
1784439944,SALT,2008,3.7083,4.0485
1784439974,MPT,2111,5.2765,6.6113
1784439974,SALT,2125,3.7266,4.0416
1784440004,MPT,2226,5.3452,6.6070
1784440004,SALT,2241,3.7403,3.9904
1784440034,MPT,2341,5.3998,6.4565
1784440034,SALT,2357,3.7535,4.0096
1784440064,MPT,2456,5.4409,6.2774
1784440064,SALT,2473,3.7595,3.8819
1784440094,MPT,2572,5.4802,6.3129
1784440094,SALT,2590,3.7601,3.7726
1784440124,MPT,2687,5.5280,6.5965
1784440124,SALT,2706,3.7663,3.9032
1784440154,MPT,2802,5.5681,6.5052
1784440155,SALT,2822,3.7721,3.9078
1784440185,MPT,2917,5.6188,6.8539
1784440185,SALT,2938,3.7755,3.8581
1784440215,MPT,3031,5.6712,7.0123
1784440215,SALT,3055,3.7841,4.0009
1784440245,MPT,3146,5.7139,6.8391
1784440245,SALT,3171,3.7890,3.9198
1784440275,MPT,3261,5.7415,6.4965
1784440275,SALT,3287,3.7964,3.9983
1784440305,MPT,3376,5.7790,6.8426
1784440305,SALT,3403,3.8027,3.9803
1784440335,MPT,3491,5.8155,6.8878
1784440335,SALT,3520,3.8149,4.1733
1784440365,MPT,3606,5.8512,6.9357
1784440365,SALT,3636,3.8233,4.0776
1784440395,MPT,3721,5.8831,6.8809
1784440395,SALT,3752,3.8324,4.1172
1784440425,MPT,3836,5.9216,7.1696
1784440426,SALT,3868,3.8452,4.2595
1784440456,MPT,3951,5.9578,7.1652
1784440456,SALT,3984,3.8513,4.0543
1784440486,MPT,4065,5.9911,7.1439
1784440486,SALT,4100,3.8588,4.1145
1784440516,MPT,4180,6.0213,7.0896
1784440516,SALT,4217,3.8651,4.0879
1784440546,MPT,4295,6.0549,7.2748
1784440546,SALT,4333,3.8703,4.0603
1784440576,MPT,4409,6.0951,7.5965
1784440576,SALT,4449,3.8764,4.1026
1784440606,MPT,4524,6.1278,7.3947
1784440606,SALT,4565,3.8806,4.0405
1784440636,MPT,4639,6.1479,6.9391
1784440636,SALT,4681,3.8821,3.9414
1784440666,MPT,4754,6.1604,6.6635
1784440666,SALT,4798,3.8741,3.5556
1784440697,MPT,4869,6.1765,6.8435
1784440697,SALT,4914,3.8749,3.9078
1784440727,MPT,4984,6.2033,7.3365
1784440727,SALT,5030,3.8772,3.9724
1784440757,MPT,5099,6.2266,7.2365
1784440757,SALT,5147,3.8801,4.0085
1784440787,MPT,5213,6.2521,7.3904
1784440787,SALT,5263,3.8818,3.9543
1784440817,MPT,5328,6.2739,7.2661
1784440817,SALT,5379,3.8843,3.9966
1784440847,MPT,5443,6.2981,7.4148
1784440847,SALT,5495,3.8868,4.0026
1784440877,MPT,5557,6.3238,7.5518
1784440877,SALT,5611,3.8917,4.1222
1784440907,MPT,5672,6.3539,7.8078
1784440907,SALT,5728,3.8963,4.1207
1784440937,MPT,5786,6.3965,8.5184
1784440937,SALT,5844,3.9168,4.9284
1784440968,MPT,5900,6.4193,7.5678
1784440968,SALT,5960,3.9226,4.2155
1784440998,MPT,6015,6.4382,7.4149
1784440998,SALT,6076,3.9263,4.1172
1784441028,MPT,6130,6.4531,7.2304
1784441028,SALT,6192,3.9292,4.0784
1784441058,MPT,6244,6.4845,8.1737
1784441058,SALT,6308,3.9474,4.9216
1784441088,MPT,6359,6.5101,7.9000
1784441088,SALT,6424,3.9487,4.0164
1784441118,MPT,6473,6.5351,7.9298
1784441118,SALT,6540,3.9477,3.8922
1784441148,MPT,6588,6.5579,7.8443
1784441148,SALT,6657,3.9506,4.1137
1784441178,MPT,6702,6.5794,7.8219
1784441178,SALT,6773,3.9533,4.1069
1784441208,MPT,6817,6.5995,7.7704
1784441208,SALT,6889,3.9565,4.1440
1784441239,MPT,6931,6.6175,7.6939
1784441239,SALT,7005,3.9585,4.0793
1784441269,MPT,7046,6.6216,6.8643
1784441269,SALT,7121,3.9532,3.6319
1784441299,MPT,7161,6.6230,6.7122
1784441299,SALT,7238,3.9502,3.7692
1784441329,MPT,7276,6.6264,6.8374
1784441329,SALT,7354,3.9513,4.0181
1784441359,MPT,7391,6.6358,7.2330
1784441359,SALT,7470,3.9525,4.0284
1784441389,MPT,7505,6.6483,7.4561
1784441389,SALT,7586,3.9547,4.1000
1784441419,MPT,7620,6.6603,7.4452
1784441419,SALT,7702,3.9566,4.0776
1784441449,MPT,7735,6.6730,7.5113
1784441449,SALT,7819,3.9580,4.0513
1784441479,MPT,7849,6.6870,7.6351
1784441479,SALT,7935,3.9594,4.0560
1784441510,MPT,7964,6.7033,7.8209
1784441510,SALT,8051,3.9645,4.3103
1784441540,MPT,8078,6.7184,7.7684
1784441540,SALT,8167,3.9657,4.0466
1784441570,MPT,8193,6.7306,7.5930
1784441570,SALT,8283,3.9675,4.1009
1784441600,MPT,8307,6.7431,7.6386
1784441600,SALT,8399,3.9677,3.9767
1784441630,MPT,8422,6.7584,7.8670
1784441630,SALT,8515,3.9709,4.2043
1784441660,MPT,8536,6.7721,7.7842
1784441660,SALT,8632,3.9744,4.2259
1784441690,MPT,8651,6.7840,7.6670
1784441690,SALT,8748,3.9771,4.1853
1784441720,MPT,8765,6.7980,7.8570
1784441720,SALT,8864,3.9789,4.1095
1784441750,MPT,8880,6.8102,7.7374
1784441750,SALT,8980,3.9802,4.0845
1784441781,MPT,8994,6.8249,7.9763
1784441781,SALT,9096,3.9801,3.9698
1784441811,MPT,9108,6.8395,7.9868
1784441811,SALT,9212,3.9833,4.2302
1784441841,MPT,9223,6.8561,8.1748
1784441841,SALT,9328,3.9924,4.7147
1784441871,MPT,9338,6.8478,6.1791
1784441871,SALT,9445,3.9890,3.7222
1784441901,MPT,9453,6.8455,6.6626
1784441901,SALT,9561,3.9888,3.9750
1784441931,MPT,9567,6.8532,7.4861
1784441931,SALT,9677,3.9922,4.2672
1784441961,MPT,9682,6.8624,7.6281
1784441961,SALT,9793,3.9964,4.3466
1784441991,MPT,9797,6.8689,7.4200
1784441991,SALT,9909,3.9973,4.0741
1784442021,MPT,9911,6.8733,7.2518
1784442022,SALT,10025,3.9983,4.0846
1784442052,MPT,10026,6.8766,7.1583
1784442052,SALT,10142,3.9993,4.0845
1784442082,MPT,10141,6.8827,7.4200
1784442082,SALT,10258,3.9997,4.0345
1784442112,MPT,10255,6.8903,7.5623
1784442112,SALT,10374,3.9992,3.9603
1784442142,MPT,10370,6.8966,7.4574
1784442142,SALT,10490,3.9995,4.0181
1784442172,MPT,10485,6.9022,7.4070
1784442172,SALT,10607,3.9995,4.0043
1784442202,MPT,10599,6.9117,7.7904
1784442202,SALT,10723,3.9990,3.9552
1784442232,MPT,10714,6.9204,7.7183
1784442232,SALT,10839,3.9994,4.0319
1784442262,MPT,10828,6.9273,7.5746
1784442262,SALT,10955,4.0007,4.1250
1784442292,MPT,10943,6.9352,7.6791
1784442293,SALT,11071,4.0027,4.1888
1784442323,MPT,11057,6.9430,7.6904
1784442323,SALT,11187,4.0048,4.2112
1784442353,MPT,11172,6.9484,7.4713
1784442353,SALT,11304,4.0069,4.2051
1784442383,MPT,11287,6.9519,7.2904
1784442383,SALT,11420,4.0075,4.0690
1784442413,MPT,11401,6.9579,7.5570
1784442413,SALT,11536,4.0094,4.1966
1784442443,MPT,11516,6.9620,7.3652
1784442443,SALT,11652,4.0094,4.0052
1784442473,MPT,11631,6.9618,6.9435
1784442473,SALT,11768,4.0072,3.7879
1784442503,MPT,11746,6.9622,7.0009
1784442503,SALT,11885,4.0067,3.9590
1784442533,MPT,11860,6.9643,7.1807
1784442533,SALT,12001,4.0057,3.9009
1784442563,MPT,11975,6.9676,7.3070
1784442564,SALT,12117,4.0038,3.8086
1784442594,MPT,12090,6.9691,7.1278
1784442594,SALT,12233,4.0031,3.9250
1784442624,MPT,12205,6.9706,7.1235
1784442624,SALT,12350,4.0037,4.0632
1784442654,MPT,12319,6.9764,7.6000
1784442654,SALT,12466,4.0065,4.3052
1784442684,MPT,12434,6.9849,7.8948
1784442684,SALT,12582,4.0122,4.6284
1784442714,MPT,12548,6.9909,7.6447
1784442714,SALT,12698,4.0124,4.0345
1784442744,MPT,12663,6.9940,7.3365
1784442744,SALT,12814,4.0119,3.9526
1784442774,MPT,12777,7.0015,7.8278
1784442774,SALT,12930,4.0118,4.0086
1784442804,MPT,12892,7.0086,7.7974
1784442804,SALT,13046,4.0122,4.0581
1784442834,MPT,13006,7.0149,7.7200
1784442835,SALT,13163,4.0136,4.1647
1784442865,MPT,13121,7.0283,8.5596
1784442865,SALT,13279,4.0206,4.8121
1784442895,MPT,13235,7.0353,7.8395
1784442895,SALT,13395,4.0216,4.1422
1784442925,MPT,13350,7.0418,7.7983
1784442925,SALT,13511,4.0231,4.1931
1784442955,MPT,13464,7.0474,7.6930
1784442955,SALT,13627,4.0243,4.1629
1784442985,MPT,13579,7.0547,7.9139
1784442985,SALT,13743,4.0254,4.1603
1784443015,MPT,13693,7.0622,7.9614
1784443015,SALT,13859,4.0275,4.2767
1784443045,MPT,13807,7.0651,7.4132
1784443045,SALT,13975,4.0272,3.9922
1784443075,MPT,13922,7.0656,7.1209
1784443075,SALT,14092,4.0256,3.8282
1784443105,MPT,14037,7.0685,7.4139
1784443106,SALT,14208,4.0234,3.7534
1784443136,MPT,14151,7.0723,7.5400
1784443136,SALT,14324,4.0235,4.0353
1784443166,MPT,14266,7.0779,7.7807
1784443166,SALT,14440,4.0238,4.0595
1784443196,MPT,14380,7.0839,7.8333
1784443196,SALT,14556,4.0244,4.1094
1784443226,MPT,14495,7.0902,7.8783
1784443226,SALT,14673,4.0269,4.3319
1784443256,MPT,14609,7.0962,7.8509
1784443256,SALT,14789,4.0276,4.1233
