epoch,lane,head,cum_root_ms,win_root_ms
1784411415,MPT,30,4.0588,4.0588
1784411415,JMT,30,3.9530,3.9530
1784411419,MPT,45,3.9334,3.9334
1784411419,JMT,45,3.8008,3.8008
1784411445,MPT,144,5.2547,5.5694
1784411445,JMT,144,5.3585,5.7283
1784411449,MPT,159,5.4088,5.9912
1784411449,JMT,159,5.5048,6.1775
1784411475,MPT,258,6.4496,7.9589
1784411475,JMT,249,14.6588,27.4136
1784411479,MPT,273,6.5634,8.1737
1784411479,JMT,263,14.2757,27.6849
1784411505,MPT,371,7.2563,9.0982
1784411505,JMT,362,12.4040,7.4355
1784411509,MPT,385,7.3626,9.2935
1784411509,JMT,377,12.2180,7.4709
1784411535,MPT,483,7.9533,10.2621
1784411536,JMT,476,11.3578,8.0356
1784411539,MPT,498,8.0379,10.3652
1784411539,JMT,490,11.2682,8.0996
1784411566,MPT,594,8.8527,12.7313
1784411566,JMT,574,16.9288,43.9879
1784411570,MPT,609,8.9142,12.8456
1784411570,JMT,589,16.7068,43.6247
1784411596,MPT,706,9.5591,13.3456
1784411596,JMT,675,19.7723,35.9324
1784411600,MPT,720,9.6795,13.8782
1784411600,JMT,687,21.2886,48.8267
1784411626,MPT,817,10.0594,13.2420
1784411626,JMT,785,19.7256,19.4391
1784411630,MPT,831,10.1160,12.9477
1784411630,JMT,800,19.5282,8.8257
1784411656,MPT,928,10.4076,12.9702
1784411656,JMT,898,18.3517,8.8071
1784411660,MPT,943,10.4512,12.9379
1784411660,JMT,913,18.1930,8.7398
1784411686,MPT,1039,10.7417,13.5346
1784411686,JMT,1011,17.3099,9.0310
1784411690,MPT,1054,10.7753,13.5294
1784411690,JMT,1026,17.1937,9.1195
1784411716,MPT,1150,11.0190,13.6153
1784411716,JMT,1124,16.5131,9.3841
1784411720,MPT,1165,11.0518,13.6775
1784411720,JMT,1139,16.4219,9.4150
1784411746,MPT,1260,11.4095,15.4918
1784411746,JMT,1220,18.0750,36.3625
1784411750,MPT,1275,11.4395,15.5455
1784411750,JMT,1235,17.9744,36.3938
1784411776,MPT,1371,11.6074,13.8532
1784411776,JMT,1333,17.3671,9.7239
1784411780,MPT,1386,11.6232,13.7324
1784411780,JMT,1348,17.2819,9.7133
1784411806,MPT,1482,11.7899,14.0450
1784411807,JMT,1446,16.7683,9.7053
1784411810,MPT,1496,11.8119,14.1685
1784411811,JMT,1461,16.7012,9.7735
1784411837,MPT,1592,11.9669,14.3288
1784411837,JMT,1558,16.2879,10.0848
1784411841,MPT,1607,11.9873,14.3745
1784411841,JMT,1573,16.2291,10.0714
1784411867,MPT,1703,12.1188,14.3200
1784411867,JMT,1671,15.8812,10.2743
1784411871,MPT,1718,12.1415,14.3739
1784411871,JMT,1685,15.8351,10.3018
1784411897,MPT,1814,12.2738,14.6505
1784411897,JMT,1783,15.5436,10.5063
1784411901,MPT,1828,12.2931,14.6600
1784411901,JMT,1798,15.5033,10.5549
1784411927,MPT,1924,12.3967,14.4245
1784411927,JMT,1895,15.2556,10.6705
1784411931,MPT,1939,12.4111,14.3550
1784411931,JMT,1910,15.2194,10.6625
1784411957,MPT,2035,12.4871,14.0541
1784411957,JMT,2007,15.0028,10.7259
1784411961,MPT,2050,12.5014,14.0784
1784411961,JMT,2022,14.9841,10.9714
1784411987,MPT,2145,12.6431,15.5291
1784411987,JMT,2104,16.7500,52.9010
1784411991,MPT,2160,12.6514,15.4482
1784411991,JMT,2119,16.7024,52.5206
1784412017,MPT,2257,12.6323,12.4250
1784412017,JMT,2217,16.3512,8.9265
1784412021,MPT,2272,12.6116,11.8437
1784412021,JMT,2232,16.2890,8.5363
1784412047,MPT,2368,12.6088,12.1306
1784412048,JMT,2330,15.9924,8.9522
1784412051,MPT,2383,12.6123,12.6270
1784412051,JMT,2345,15.9475,9.2035
1784412078,MPT,2480,12.6137,12.7170
1784412078,JMT,2443,15.6914,9.4858
1784412082,MPT,2495,12.6158,12.6902
1784412082,JMT,2458,15.6571,9.6292
1784412108,MPT,2591,12.6389,13.2036
1784412108,JMT,2555,15.4284,9.6911
1784412112,MPT,2606,12.6437,13.2703
1784412112,JMT,2570,15.3937,9.6134
1784412138,MPT,2702,12.7235,14.6964
1784412138,JMT,2653,16.7468,51.1194
1784412142,MPT,2716,12.7304,14.7845
1784412142,JMT,2667,16.7130,51.6691
1784412168,MPT,2813,12.7604,13.6604
1784412168,JMT,2765,16.4730,9.9866
1784412172,MPT,2827,12.7656,13.6261
1784412172,JMT,2780,16.4383,9.9549
